parkingId,parkingTitle,destination,distanceKm,availabilityScore,conversionRate,extensionRate,price,views,starts,extensions,score
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Tunis,5.64,1.0,0,0,28.0,0,0,0,35.67
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Ariana,0.73,1.0,0,0,28.0,0,0,0,57.13
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Ben Arous,11.62,1.0,0,0,28.0,0,0,0,25.33
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Manouba,10.26,1.0,0,0,28.0,0,0,0,25.33
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Lac 1,4.34,1.0,0,0,28.0,0,0,0,41.35
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Lac 2,6.88,1.0,0,0,28.0,0,0,0,30.22
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Aouina,6.67,1.0,0,0,28.0,0,0,0,31.14
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,La Marsa,11.75,1.0,0,0,28.0,0,0,0,25.33
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Sidi Bou Said,13.08,1.0,0,0,28.0,0,0,0,25.33
44d93d88-2018-4169-a887-5c8f4130e6ab,Ariana Parking 6,Carthage,11.34,1.0,0,0,28.0,0,0,0,25.33
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Tunis,5.66,0.2,0,0,21.0,0,0,0,16.75
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Ariana,0.85,0.2,0,0,21.0,0,0,0,37.8
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Ben Arous,11.51,0.2,0,0,21.0,0,0,0,6.5
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Manouba,10.49,0.2,0,0,21.0,0,0,0,6.5
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Lac 1,4.04,0.2,0,0,21.0,0,0,0,23.81
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Lac 2,6.58,0.2,0,0,21.0,0,0,0,12.73
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Aouina,6.37,0.2,0,0,21.0,0,0,0,13.61
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,La Marsa,11.46,0.2,0,0,21.0,0,0,0,6.5
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Sidi Bou Said,12.78,0.2,0,0,21.0,0,0,0,6.5
3d3adc60-1160-4063-a194-2f4277e4187c,Ariana Parking 7,Carthage,11.03,0.2,0,0,21.0,0,0,0,6.5
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Tunis,6.05,0.85,0,0,19.0,0,0,0,31.71
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Ariana,0.8,0.85,0,0,19.0,0,0,0,54.69
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Ben Arous,12.31,0.85,0,0,19.0,0,0,0,23.2
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Manouba,9.89,0.85,0,0,19.0,0,0,0,23.2
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Lac 1,5.28,0.85,0,0,19.0,0,0,0,35.09
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Lac 2,7.75,0.85,0,0,19.0,0,0,0,24.3
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Aouina,7.44,0.85,0,0,19.0,0,0,0,25.63
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,La Marsa,12.41,0.85,0,0,19.0,0,0,0,23.2
ea9a323c-726d-42f9-ad43-09081e9a972c,Ariana Parking 8,Sidi Bou Said,13.81,0.85,0,0,19.0,0,0,0,23.2
